,ecorregion_nivel_1,fecha,num_incendios,area_km2_ecorregiones,incendios_cada_km2
124,Elevaciones Semiaridas Meridionales,2003-04-06,1,453940974.5789417,2.2029295789558583e-09
125,Elevaciones Semiaridas Meridionales,2003-04-15,7,453940974.5789417,1.542050705269101e-08
126,Elevaciones Semiaridas Meridionales,2003-04-17,5,453940974.5789417,1.1014647894779291e-08
127,Elevaciones Semiaridas Meridionales,2003-04-19,1,453940974.5789417,2.2029295789558583e-09
128,Elevaciones Semiaridas Meridionales,2003-04-20,1,453940974.5789417,2.2029295789558583e-09
129,Elevaciones Semiaridas Meridionales,2003-04-24,1,453940974.5789417,2.2029295789558583e-09
130,Elevaciones Semiaridas Meridionales,2003-04-25,1,453940974.5789417,2.2029295789558583e-09
131,Elevaciones Semiaridas Meridionales,2003-04-26,1,453940974.5789417,2.2029295789558583e-09
132,Elevaciones Semiaridas Meridionales,2003-04-27,1,453940974.5789417,2.2029295789558583e-09
133,Elevaciones Semiaridas Meridionales,2003-04-28,4,453940974.5789417,8.811718315823433e-09
134,Elevaciones Semiaridas Meridionales,2003-05-01,3,453940974.5789417,6.608788736867575e-09
135,Elevaciones Semiaridas Meridionales,2003-05-03,2,453940974.5789417,4.405859157911717e-09
136,Elevaciones Semiaridas Meridionales,2003-05-04,6,453940974.5789417,1.321757747373515e-08
137,Elevaciones Semiaridas Meridionales,2003-05-05,1,453940974.5789417,2.2029295789558583e-09
138,Elevaciones Semiaridas Meridionales,2003-05-06,1,453940974.5789417,2.2029295789558583e-09
139,Elevaciones Semiaridas Meridionales,2003-05-07,1,453940974.5789417,2.2029295789558583e-09
140,Elevaciones Semiaridas Meridionales,2003-05-10,6,453940974.5789417,1.321757747373515e-08
141,Elevaciones Semiaridas Meridionales,2003-05-11,1,453940974.5789417,2.2029295789558583e-09
142,Elevaciones Semiaridas Meridionales,2003-05-12,2,453940974.5789417,4.405859157911717e-09
143,Elevaciones Semiaridas Meridionales,2003-05-13,4,453940974.5789417,8.811718315823433e-09
144,Elevaciones Semiaridas Meridionales,2003-05-14,4,453940974.5789417,8.811718315823433e-09
145,Elevaciones Semiaridas Meridionales,2003-05-15,7,453940974.5789417,1.542050705269101e-08
146,Elevaciones Semiaridas Meridionales,2003-05-16,2,453940974.5789417,4.405859157911717e-09
147,Elevaciones Semiaridas Meridionales,2003-05-17,11,453940974.5789417,2.423222536851444e-08
148,Elevaciones Semiaridas Meridionales,2003-05-18,2,453940974.5789417,4.405859157911717e-09
149,Elevaciones Semiaridas Meridionales,2003-05-19,2,453940974.5789417,4.405859157911717e-09
150,Elevaciones Semiaridas Meridionales,2003-05-20,5,453940974.5789417,1.1014647894779291e-08
151,Elevaciones Semiaridas Meridionales,2003-05-21,1,453940974.5789417,2.2029295789558583e-09
