,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo,incendios_cada_km2
111,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-03,2,900196336.2952371,2.22173754697893e-09
112,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-05,7,900196336.2952371,7.776081414426256e-09
113,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-07,2,900196336.2952371,2.22173754697893e-09
114,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-08,4,900196336.2952371,4.44347509395786e-09
115,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-09,2,900196336.2952371,2.22173754697893e-09
116,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-11,3,900196336.2952371,3.332606320468395e-09
117,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-12,4,900196336.2952371,4.44347509395786e-09
118,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-13,2,900196336.2952371,2.22173754697893e-09
119,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-14,3,900196336.2952371,3.332606320468395e-09
120,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-04,3,900196336.2952371,3.332606320468395e-09
121,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-07,1,900196336.2952371,1.110868773489465e-09
122,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-09,2,900196336.2952371,2.22173754697893e-09
123,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-11,3,900196336.2952371,3.332606320468395e-09
124,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-12,2,900196336.2952371,2.22173754697893e-09
125,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-13,5,900196336.2952371,5.554343867447325e-09
126,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-14,1,900196336.2952371,1.110868773489465e-09
127,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-15,11,900196336.2952371,1.2219556508384116e-08
128,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-17,3,900196336.2952371,3.332606320468395e-09
129,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-18,3,900196336.2952371,3.332606320468395e-09
130,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-19,1,900196336.2952371,1.110868773489465e-09
131,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-20,1,900196336.2952371,1.110868773489465e-09
132,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-21,3,900196336.2952371,3.332606320468395e-09
133,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-27,1,900196336.2952371,1.110868773489465e-09
134,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-30,1,900196336.2952371,1.110868773489465e-09
135,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-02,2,900196336.2952371,2.22173754697893e-09
136,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-03,1,900196336.2952371,1.110868773489465e-09
137,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-07,3,900196336.2952371,3.332606320468395e-09
138,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-21,2,900196336.2952371,2.22173754697893e-09
139,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-23,1,900196336.2952371,1.110868773489465e-09
140,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-28,1,900196336.2952371,1.110868773489465e-09
