,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo_x,incendios_cada_km2,area_km2_tipo_suelo_y
88,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-07,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
89,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-08,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
90,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-09,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
91,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-10,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
92,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-11,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
93,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-12,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
94,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-14,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
95,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-15,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
96,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-16,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
97,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-17,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
98,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-18,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
99,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-19,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
100,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-20,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
101,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-21,11,900196336.2952371,1.2219556508384116e-08,900196336.2952371
102,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-22,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
103,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-23,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
104,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-24,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
105,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-25,11,900196336.2952371,1.2219556508384116e-08,900196336.2952371
106,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-27,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
